日期,測站,測項,4,5,6,7,8,9
2014/3/19,豐原,RAINFALL,NR,NR,NR,NR,NR,NR
2014/3/19,豐原,RH,82,81,81,79,71,64
2014/3/19,豐原,SO2,2.2,2.2,2.2,2.6,4.1,4.1
2014/3/19,豐原,THC,2.1,2.1,2,2.2,2.4,2.2
2014/3/19,豐原,WD_HR,118,109,113,96,280,298
2014/3/19,豐原,WIND_DIREC,120,107,78,51,339,136
2014/3/19,豐原,WIND_SPEED,1.8,1.2,1.2,0.8,1,1
2014/3/19,豐原,WS_HR,1.5,1.7,1.7,0.9,0.6,0.2
2014/3/20,豐原,AMB_TEMP,21,21,21,22,24,24
2014/3/20,豐原,CH4,1.7,1.7,1.8,1.7,1.7,1.8
2014/3/20,豐原,CO,0.39,0.39,0.42,0.4,0.49,0.43
2014/3/20,豐原,NMHC,0.15,0.15,0.15,0.11,0.2,0.2
2014/3/20,豐原,NO,1,1,1.2,0.8,3.3,2.7
2014/3/20,豐原,NO2,10,10,15,7.8,15,14
2014/3/20,豐原,NOx,11,11,16,8.6,18,17
2014/3/20,豐原,O3,5.5,5.5,10,21,19,20
2014/3/20,豐原,PM10,80,80,83,73,74,82
2014/3/20,豐原,PM2.5,51,51,50,40,46,47
2014/3/20,豐原,RAINFALL,NR,NR,NR,NR,NR,NR
2014/3/20,豐原,RH,79,79,78,72,65,70
2014/3/20,豐原,SO2,2.7,2.7,2.6,2.4,2.8,3.3
2014/3/20,豐原,THC,1.9,1.9,1.9,1.8,1.9,2
2014/3/20,豐原,WD_HR,62,62,73,96,68,332
2014/3/20,豐原,WIND_DIREC,51,51,107,101,58,322
2014/3/20,豐原,WIND_SPEED,1.3,1.3,2.6,2.4,1.7,1.8
2014/3/20,豐原,WS_HR,0.5,0.5,1.5,2,0.9,1
2014/4/1,豐原,AMB_TEMP,18,18,18,19,19,19
2014/4/1,豐原,CH4,1.7,1.7,1.7,1.7,1.7,1.7
2014/4/1,豐原,CO,0.4,0.39,0.4,0.43,0.4,0.38
2014/4/1,豐原,NMHC,0.06,0.06,0.05,0.06,0.06,0.09
2014/4/1,豐原,NO,0.6,0.5,0.3,0.5,0.9,1
2014/4/1,豐原,NO2,5.8,8.6,6.6,7.3,7.1,7
2014/4/1,豐原,NOx,6.4,9.1,6.8,7.8,8,8
2014/4/1,豐原,O3,35,32,35,32,38,40
2014/4/1,豐原,PM10,27,32,18,21,17,30
2014/4/1,豐原,PM2.5,13,15,12,11,5,6
2014/4/1,豐原,RAINFALL,NR,NR,NR,NR,NR,NR
2014/4/1,豐原,RH,98,97,96,93,88,84
2014/4/1,豐原,SO2,1.7,2.2,1.6,1.6,1.6,1.8
2014/4/1,豐原,THC,1.7,1.7,1.7,1.7,1.7,1.7
2014/4/1,豐原,WD_HR,357,325,64,55,45,321
2014/4/1,豐原,WIND_DIREC,300,349,55,51,75,11
2014/4/1,豐原,WIND_SPEED,1.5,1.2,1.8,2.1,1.9,1.9
2014/4/1,豐原,WS_HR,0.5,0.6,0.4,1.4,0.8,1.2
2014/4/2,豐原,AMB_TEMP,19,18,19,19,20,22
2014/4/2,豐原,CH4,1.7,1.7,1.7,1.7,1.7,1.7
2014/4/2,豐原,CO,0.33,0.36,0.47,0.62,0.44,0.35
2014/4/2,豐原,NMHC,0.05,0.09,0.12,0.17,0.11,0.12
2014/4/2,豐原,NO,1,1,2.1,5.9,4.1,1.8
2014/4/2,豐原,NO2,4.5,8.3,13,18,11,7.4
2014/4/2,豐原,NOx,5.4,9.3,15,24,16,9.3
2014/4/2,豐原,O3,37,25,20,14,23,39
2014/4/2,豐原,PM10,7,12,7,17,15,27
2014/4/2,豐原,PM2.5,0,0,1,1,1,0
2014/4/2,豐原,RAINFALL,NR,NR,NR,NR,NR,NR
2014/4/2,豐原,RH,72,78,78,76,73,65
2014/4/2,豐原,SO2,1.4,1.3,1.5,3.7,2.1,2
2014/4/2,豐原,THC,1.7,1.8,1.8,1.9,1.8,1.8
2014/4/2,豐原,WD_HR,94,16,123,306,299,314
2014/4/2,豐原,WIND_DIREC,156,88,198,299,308,319
2014/4/2,豐原,WIND_SPEED,0.9,0.8,1,1.2,1.9,2.3
2014/4/2,豐原,WS_HR,1.3,0.2,0.5,1,1,2
2014/4/3,豐原,AMB_TEMP,19,18,19,19,20,21
2014/4/3,豐原,CH4,1.7,1.7,1.7,1.7,1.7,1.7
2014/4/3,豐原,CO,0.39,0.43,0.51,0.69,0.56,0.69
2014/4/3,豐原,NMHC,0.1,0.14,0.14,0.25,0.21,0.45
2014/4/3,豐原,NO,0.9,0.8,1.5,4.3,3.2,6.3
2014/4/3,豐原,NO2,7.6,13,12,16,17,20
2014/4/3,豐原,NOx,8.6,13,13,20,20,27
2014/4/3,豐原,O3,32,21,20,18,19,23
2014/4/3,豐原,PM10,20,23,25,32,41,48
2014/4/3,豐原,PM2.5,0,13,24,28,27,28
2014/4/3,豐原,RAINFALL,NR,NR,NR,NR,NR,NR
2014/4/3,豐原,RH,83,87,86,83,82,80
2014/4/3,豐原,SO2,1.2,1.5,1.2,2,2,3
2014/4/3,豐原,THC,1.7,1.8,1.8,1.9,1.9,2.2
2014/4/3,豐原,WD_HR,342,46,99,182,141,222
2014/4/3,豐原,WIND_DIREC,306,85,133,172,192,234
2014/4/3,豐原,WIND_SPEED,1.4,1.1,1.3,1.7,1.6,1.6
2014/4/3,豐原,WS_HR,0.4,0.3,1.5,1.1,0.9,1.6
2014/4/4,豐原,AMB_TEMP,20,19,19,19,20,20
2014/4/4,豐原,CH4,1.7,1.7,1.7,1.7,1.7,1.6
2014/4/4,豐原,CO,0.33,0.3,0.32,0.34,0.33,0.27
2014/4/4,豐原,NMHC,0.1,0.11,0.11,0.1,0.07,0.16
2014/4/4,豐原,NO,0.6,0.4,0.5,0.4,1.1,0.7
2014/4/4,豐原,NO2,3.4,6,6.8,6.9,7.7,6.1
2014/4/4,豐原,NOx,4,6.4,7.3,7.4,8.8,6.8
2014/4/4,豐原,O3,47,43,42,40,40,44
2014/4/4,豐原,PM10,15,26,30,34,31,31
2014/4/4,豐原,PM2.5,19,23,16,19,19,23
2014/4/4,豐原,RAINFALL,NR,NR,NR,NR,NR,NR
2014/4/4,豐原,RH,61,63,62,62,58,59
2014/4/4,豐原,SO2,1.3,1.3,1.2,1.2,1.2,1.7
2014/4/4,豐原,THC,1.8,1.8,1.8,1.8,1.7,1.8
2014/4/4,豐原,WD_HR,348,325,20,357,87,317
2014/4/4,豐原,WIND_DIREC,317,18,73,347,81,318
2014/4/4,豐原,WIND_SPEED,1.1,0.8,1.6,1.8,2.3,2.3
2014/4/4,豐原,WS_HR,0.7,1.1,0.4,0.3,0.9,2
2014/4/5,豐原,AMB_TEMP,17,17,17,19,21,23
2014/4/5,豐原,CH4,1.7,1.7,1.7,1.7,1.7,1.6
2014/4/5,豐原,CO,0.43,0.46,0.59,0.83,0.56,0.43
2014/4/5,豐原,NMHC,0.11,0.14,0.15,0.25,0.15,0.09
2014/4/5,豐原,NO,1.7,1.7,2.1,8.1,3.6,2
2014/4/5,豐原,NO2,8.3,8.1,9.5,18,12,7.4
2014/4/5,豐原,NOx,10,9.9,12,26,16,9.4
2014/4/5,豐原,O3,20,22,22,13,46,65
2014/4/5,豐原,PM10,69,79,78,71,67,64
2014/4/5,豐原,PM2.5,41,40,42,46,54,59
2014/4/5,豐原,RAINFALL,NR,NR,NR,NR,NR,NR
2014/4/5,豐原,RH,87,87,87,83,70,62
2014/4/5,豐原,SO2,1.6,1.6,1.7,1.9,2.9,3.2
2014/4/5,豐原,THC,1.8,1.9,1.8,2,1.8,1.7
2014/4/5,豐原,WD_HR,111,105,108,51,327,307
2014/4/5,豐原,WIND_DIREC,103,97,98,40,323,273
2014/4/5,豐原,WIND_SPEED,2,2.2,1.7,0.8,1.3,1.6
2014/4/5,豐原,WS_HR,2,1.8,1.8,0.7,0.6,0.4
2014/4/6,豐原,AMB_TEMP,18,18,18,19,21,23
2014/4/6,豐原,CH4,1.7,1.7,1.8,1.8,1.8,1.7
2014/4/6,豐原,CO,0.3,0.36,0.57,0.57,0.6,0.55
2014/4/6,豐原,NMHC,0.07,0.1,0.19,0.18,0.18,0.14
2014/4/6,豐原,NO,1.4,1.6,2.6,2.6,3.6,2.6
2014/4/6,豐原,NO2,8.8,12,17,17,17,13
2014/4/6,豐原,NOx,10,13,20,19,21,16
2014/4/6,豐原,O3,26,23,20,20,32,56
2014/4/6,豐原,PM10,40,36,26,30,44,77
2014/4/6,豐原,PM2.5,21,19,16,22,29,41
2014/4/6,豐原,RAINFALL,NR,NR,NR,NR,NR,NR
2014/4/6,豐原,RH,71,69,68,69,62,58
2014/4/6,豐原,SO2,1.1,1.2,1.7,1.4,2.1,4.1
2014/4/6,豐原,THC,1.8,1.8,1.9,2,1.9,1.8
2014/4/6,豐原,WD_HR,41,126,152,46,212,215
2014/4/6,豐原,WIND_DIREC,14,213,110,324,209,219
2014/4/6,豐原,WIND_SPEED,1.1,1,1.1,0.5,2.9,3.1
2014/4/6,豐原,WS_HR,0.5,0.4,0.6,0.4,1.3,3.1
2014/4/7,豐原,AMB_TEMP,19,19,19,18,18,18
2014/4/7,豐原,CH4,1.7,1.8,1.7,1.7,1.6,1.6
2014/4/7,豐原,CO,0.43,0.48,0.42,0.43,0.37,0.29
2014/4/7,豐原,NMHC,0.1,0.14,0.1,0.08,0.06,0.03
2014/4/7,豐原,NO,1.4,1.3,1.1,1.1,1.3,1.2
2014/4/7,豐原,NO2,10,14,11,10,6.8,5
2014/4/7,豐原,NOx,11,15,13,11,8,6.2
2014/4/7,豐原,O3,22,16,29,36,53,58
2014/4/7,豐原,PM10,73,78,85,76,57,37
2014/4/7,豐原,PM2.5,52,54,53,51,45,35
2014/4/7,豐原,RAINFALL,NR,NR,0.6,0.2,1.6,1
2014/4/7,豐原,RH,85,85,84,84,84,85
2014/4/7,豐原,SO2,1.7,1.5,1.5,1.1,1,0.9
2014/4/7,豐原,THC,1.8,1.9,1.8,1.8,1.7,1.6
2014/4/7,豐原,WD_HR,91,353,332,68,72,68
2014/4/7,豐原,WIND_DIREC,97,325,356,83,63,60
2014/4/7,豐原,WIND_SPEED,1.2,1.8,1.4,2.6,2.5,2.4
2014/4/7,豐原,WS_HR,0.9,0.4,0.6,2.2,2.6,2.8
2014/4/8,豐原,AMB_TEMP,19,18,19,20,22,24
2014/4/8,豐原,CH4,1.6,1.7,1.7,1.7,1.7,1.6
2014/4/8,豐原,CO,0.3,0.37,0.46,0.76,0.72,0.49
2014/4/8,豐原,NMHC,0.05,0.09,0.12,0.21,0.21,0.23
2014/4/8,豐原,NO,0.8,1.1,2.3,7.3,11,5.2
2014/4/8,豐原,NO2,5,7.9,9.2,15,21,16
2014/4/8,豐原,NOx,5.8,9,11,23,32,21
2014/4/8,豐原,O3,27,13,11,10,12,28
2014/4/8,豐原,PM10,17,13,7,11,10,28
2014/4/8,豐原,PM2.5,9,8,7,8,13,13
2014/4/8,豐原,RAINFALL,NR,NR,NR,NR,NR,NR
2014/4/8,豐原,RH,88,90,91,88,80,69
2014/4/8,豐原,SO2,1.5,1.6,1.6,1.8,1.9,2.3
2014/4/8,豐原,THC,1.7,1.8,1.8,1.9,1.9,1.9
2014/4/8,豐原,WD_HR,126,121,115,26,2.7,307
2014/4/8,豐原,WIND_DIREC,120,95,122,6.3,339,242
2014/4/8,豐原,WIND_SPEED,0.9,0.6,0.8,0.7,0.8,1.6
2014/4/8,豐原,WS_HR,0.7,0.5,0.9,0.1,0.3,0.3
2014/4/9,豐原,AMB_TEMP,22,21,21,23,24,25
2014/4/9,豐原,CH4,1.7,1.7,1.8,1.6,1.7,1.7
2014/4/9,豐原,CO,0.29,0.35,0.41,0.41,0.5,0.43
2014/4/9,豐原,NMHC,0.08,0.15,0.17,0.11,0.2,0.18
2014/4/9,豐原,NO,2.1,2.1,2.8,2.9,5.7,4.5
2014/4/9,豐原,NO2,5.6,11,16,9,16,14
2014/4/9,豐原,NOx,7.7,13,19,12,22,19
2014/4/9,豐原,O3,32,20,18,34,30,44
2014/4/9,豐原,PM10,44,46,54,53,55,57
2014/4/9,豐原,PM2.5,9,20,23,27,28,35
2014/4/9,豐原,RAINFALL,NR,NR,NR,NR,NR,NR
2014/4/9,豐原,RH,78,79,82,73,69,67
2014/4/9,豐原,SO2,1.6,1.5,2.8,1.5,3.2,3.7
2014/4/9,豐原,THC,1.7,1.8,1.9,1.8,1.9,1.9
2014/4/9,豐原,WD_HR,96,303,66,103,315,309
2014/4/9,豐原,WIND_DIREC,88,330,82,208,311,294
2014/4/9,豐原,WIND_SPEED,0.9,1.8,2.3,0.9,2.8,1.5
2014/4/9,豐原,WS_HR,1.7,0.4,1.1,1.6,1.3,1.2
2014/4/10,豐原,AMB_TEMP,19,19,20,22,24,25
2014/4/10,豐原,CH4,1.7,1.7,1.6,1.7,1.7,1.7
2014/4/10,豐原,CO,0.28,0.32,0.42,0.66,0.44,0.39
2014/4/10,豐原,NMHC,0.09,0.1,0.12,0.22,0.16,0.16
2014/4/10,豐原,NO,0.8,0.9,4.1,16,15,13
2014/4/10,豐原,NO2,8.7,9.6,12,19,20,23
2014/4/10,豐原,NOx,9.5,10,16,35,35,36
2014/4/10,豐原,O3,13,9.5,11,8.7,14,21
2014/4/10,豐原,PM10,36,34,27,31,35,41
2014/4/10,豐原,PM2.5,19,17,16,14,12,12
2014/4/10,豐原,RAINFALL,NR,NR,NR,NR,NR,NR
2014/4/10,豐原,RH,84,85,80,69,62,62
2014/4/10,豐原,SO2,1.4,1.3,1.4,1.8,9.1,10
2014/4/10,豐原,THC,1.7,1.8,1.8,1.9,1.8,1.9
2014/4/10,豐原,WD_HR,109,102,97,20,310,306
2014/4/10,豐原,WIND_DIREC,84,116,345,41,315,300
2014/4/10,豐原,WIND_SPEED,1,2.2,0.7,1.3,2.3,2.2
2014/4/10,豐原,WS_HR,1.3,1.3,0.6,0.6,1.7,1.3
2014/4/11,豐原,AMB_TEMP,20,20,20,21,22,24
2014/4/11,豐原,CH4,1.8,1.8,1.8,1.8,1.8,1.7
2014/4/11,豐原,CO,0.37,0.46,0.58,0.61,0.52,0.5
2014/4/11,豐原,NMHC,0.37,0.18,0.29,0.29,0.19,0.21
2014/4/11,豐原,NO,1.5,1.8,5,11,5.8,3.6
2014/4/11,豐原,NO2,12,15,17,23,20,17
2014/4/11,豐原,NOx,13,17,22,33,26,20
2014/4/11,豐原,O3,15,9,8.9,12,30,52
2014/4/11,豐原,PM10,47,52,68,79,80,86
2014/4/11,豐原,PM2.5,31,35,43,54,54,59
2014/4/11,豐原,RAINFALL,NR,NR,NR,NR,NR,NR
2014/4/11,豐原,RH,83,85,85,81,79,71
2014/4/11,豐原,SO2,1.6,2.7,2.4,3.8,4.4,3
2014/4/11,豐原,THC,2.1,2,2.1,2.1,2,1.9
2014/4/11,豐原,WD_HR,51,112,110,309,306,282
2014/4/11,豐原,WIND_DIREC,70,114,15,300,295,250
2014/4/11,豐原,WIND_SPEED,0.7,1.3,0.7,1.2,1.6,1.8
2014/4/11,豐原,WS_HR,0.4,1.2,1,0.6,1.1,1.4
2014/4/12,豐原,AMB_TEMP,21,21,21,23,26,27
2014/4/12,豐原,CH4,1.7,1.7,1.7,1.7,1.7,1.7
2014/4/12,豐原,CO,0.35,0.36,0.48,0.68,0.6,0.64
2014/4/12,豐原,NMHC,0.15,0.08,0.11,0.24,0.22,0.32
2014/4/12,豐原,NO,0.9,1.3,1.3,3.3,2.8,1.9
2014/4/12,豐原,NO2,8.8,9.4,10,18,15,15
2014/4/12,豐原,NOx,9.7,11,12,22,18,17
2014/4/12,豐原,O3,32,35,39,36,53,72
2014/4/12,豐原,PM10,33,31,40,41,47,56
2014/4/12,豐原,PM2.5,24,24,27,33,40,43
2014/4/12,豐原,RAINFALL,NR,NR,NR,NR,NR,NR
2014/4/12,豐原,RH,71,68,63,58,47,44
2014/4/12,豐原,SO2,1.6,1.5,1.4,2,2.3,2.8
2014/4/12,豐原,THC,1.9,1.8,1.8,2,1.9,2.1
2014/4/12,豐原,WD_HR,99,122,114,53,223,205
2014/4/12,豐原,WIND_DIREC,252,121,60,59,212,228
2014/4/12,豐原,WIND_SPEED,0.7,2.5,0.6,0.8,2.9,2.4
2014/4/12,豐原,WS_HR,0.7,1.8,1.1,0.7,2.2,2.4
2014/4/13,豐原,AMB_TEMP,24,23,23,25,26,27
2014/4/13,豐原,CH4,1.7,1.7,1.6,1.6,1.6,1.6
2014/4/13,豐原,CO,0.3,0.29,0.35,0.39,0.42,0.42
2014/4/13,豐原,NMHC,0.07,0.06,0.08,0.09,0.11,0.11
2014/4/13,豐原,NO,1.4,1.6,2.2,2.3,2.9,2.7
2014/4/13,豐原,NO2,6.8,6.7,9.3,8,10,10
2014/4/13,豐原,NOx,8.3,8.3,12,10,13,13
2014/4/13,豐原,O3,36,36,29,31,39,48
2014/4/13,豐原,PM10,56,57,58,64,71,73
2014/4/13,豐原,PM2.5,36,29,34,33,36,34
2014/4/13,豐原,RAINFALL,NR,NR,NR,NR,NR,NR
2014/4/13,豐原,RH,74,76,75,68,59,56
2014/4/13,豐原,SO2,3.4,3.4,3.6,3.9,4.8,4.8
2014/4/13,豐原,THC,1.8,1.7,1.7,1.7,1.7,1.7
2014/4/13,豐原,WD_HR,166,173,182,195,200,209
2014/4/13,豐原,WIND_DIREC,168,186,186,203,205,200
2014/4/13,豐原,WIND_SPEED,2.9,2,3.5,3,4.9,4
2014/4/13,豐原,WS_HR,2.2,2.6,2.4,2.9,4,3.9
2014/4/14,豐原,AMB_TEMP,21,21,21,21,22,23
2014/4/14,豐原,CH4,1.7,1.6,1.6,1.6,1.6,1.6
2014/4/14,豐原,CO,0.27,0.27,0.31,0.33,0.32,0.28
2014/4/14,豐原,NMHC,0.06,0.04,0.06,0.07,0.1,0.14
2014/4/14,豐原,NO,0.8,0.7,0.9,1.2,1.7,1.6
2014/4/14,豐原,NO2,5.1,5.5,7.5,8.6,10,8.3
2014/4/14,豐原,NOx,5.9,6.2,8.4,9.8,12,9.9
2014/4/14,豐原,O3,31,27,26,25,27,37
2014/4/14,豐原,PM10,40,40,37,26,27,39
2014/4/14,豐原,PM2.5,11,14,11,19,21,24
2014/4/14,豐原,RAINFALL,NR,NR,NR,NR,NR,NR
2014/4/14,豐原,RH,77,78,77,76,71,68
2014/4/14,豐原,SO2,1.5,1.4,1.4,1.5,1.5,1.6
2014/4/14,豐原,THC,1.7,1.7,1.7,1.7,1.7,1.8
2014/4/14,豐原,WD_HR,353,72,52,62,67,312
2014/4/14,豐原,WIND_DIREC,325,91,82,55,319,311
2014/4/14,豐原,WIND_SPEED,1.2,2,2.6,1.8,2.6,2.8
2014/4/14,豐原,WS_HR,0.3,1.3,0.6,1.1,0.7,1.9
2014/4/15,豐原,AMB_TEMP,19,19,20,21,22,23
2014/4/15,豐原,CH4,1.7,1.7,1.7,1.7,1.7,1.7
2014/4/15,豐原,CO,0.28,0.32,0.4,0.65,0.52,0.45
2014/4/15,豐原,NMHC,0.07,0.08,0.09,0.16,0.22,0.23
2014/4/15,豐原,NO,1.2,1.4,1.6,5.6,6.7,7.2
2014/4/15,豐原,NO2,7.3,10,15,25,21,25
2014/4/15,豐原,NOx,8.6,12,17,30,27,32
2014/4/15,豐原,O3,30,25,21,15,22,29
2014/4/15,豐原,PM10,32,39,38,43,41,50
2014/4/15,豐原,PM2.5,29,34,33,34,35,41
2014/4/15,豐原,RAINFALL,NR,NR,NR,NR,NR,NR
2014/4/15,豐原,RH,73,72,71,68,65,61
2014/4/15,豐原,SO2,1.7,1.6,1.7,1.9,6.1,9.6
2014/4/15,豐原,THC,1.7,1.7,1.8,1.8,1.9,1.9
2014/4/15,豐原,WD_HR,10,48,60,27,285,291
2014/4/15,豐原,WIND_DIREC,52,54,67,310,294,309
2014/4/15,豐原,WIND_SPEED,1.2,1.2,1.4,1.7,2.1,1.8
2014/4/15,豐原,WS_HR,0.3,0.5,0.5,0.4,1.2,1.7
2014/4/16,豐原,AMB_TEMP,21,21,20,21,22,24
2014/4/16,豐原,CH4,1.8,1.8,1.8,1.8,1.8,1.8
2014/4/16,豐原,CO,0.31,0.32,0.3,0.38,0.45,0.51
2014/4/16,豐原,NMHC,0.09,0.08,0.06,0.1,0.12,0.23
2014/4/16,豐原,NO,1.5,1.8,1.7,2.3,2.9,2.4
2014/4/16,豐原,NO2,8.3,9.1,9.2,12,14,12
2014/4/16,豐原,NOx,9.9,11,11,15,17,15
2014/4/16,豐原,O3,44,42,47,42,45,58
2014/4/16,豐原,PM10,91,92,90,91,102,99
2014/4/16,豐原,PM2.5,25,17,17,25,32,33
2014/4/16,豐原,RAINFALL,NR,NR,NR,NR,NR,NR
2014/4/16,豐原,RH,85,85,86,85,79,69
2014/4/16,豐原,SO2,3.5,3.9,2.9,3.7,3,2.4
2014/4/16,豐原,THC,1.9,1.9,1.8,1.9,1.9,2
2014/4/16,豐原,WD_HR,248,316,313,300,293,237
2014/4/16,豐原,WIND_DIREC,294,307,318,304,229,248
2014/4/16,豐原,WIND_SPEED,1.1,1.5,1.9,1.9,1.5,1.8
2014/4/16,豐原,WS_HR,0.8,1,1.7,1.1,1,1.1
2014/4/17,豐原,AMB_TEMP,23,23,23,24,25,26
2014/4/17,豐原,CH4,1.8,1.8,1.7,1.7,1.7,1.8
2014/4/17,豐原,CO,0.34,0.34,0.35,0.39,0.38,0.47
2014/4/17,豐原,NMHC,0.08,0.07,0.06,0.09,0.25,0.3
2014/4/17,豐原,NO,1.1,1.3,1.3,2.1,2.2,2.2
2014/4/17,豐原,NO2,7,7.5,7.5,9.1,11,13
2014/4/17,豐原,NOx,8.1,8.8,8.7,11,13,15
2014/4/17,豐原,O3,46,49,50,46,48,59
2014/4/17,豐原,PM10,75,73,54,45,48,57
2014/4/17,豐原,PM2.5,31,29,22,19,14,15
2014/4/17,豐原,RAINFALL,NR,NR,NR,NR,NR,NR
2014/4/17,豐原,RH,70,71,71,71,67,58
2014/4/17,豐原,SO2,2.9,2.7,2.4,2.5,3.1,3.6
2014/4/17,豐原,THC,1.9,1.8,1.8,1.8,2,2.1
2014/4/17,豐原,WD_HR,146,144,165,186,203,211
2014/4/17,豐原,WIND_DIREC,151,146,184,194,218,209
2014/4/17,豐原,WIND_SPEED,1.2,1.3,2.3,2.8,3.1,2.8
2014/4/17,豐原,WS_HR,0.6,1.3,1.7,2.5,2.9,2.5
2014/4/18,豐原,AMB_TEMP,24,24,23,25,25,27
2014/4/18,豐原,CH4,1.7,1.7,1.7,1.7,1.7,1.7
2014/4/18,豐原,CO,0.31,0.31,0.36,0.38,0.38,0.44
2014/4/18,豐原,NMHC,0.08,0.08,0.1,0.09,0.13,0.19
2014/4/18,豐原,NO,1.3,1.3,1.6,1.9,2,1.6
2014/4/18,豐原,NO2,7.6,7.6,8.5,8.8,9.1,10
2014/4/18,豐原,NOx,8.9,8.9,10,11,11,12
2014/4/18,豐原,O3,14,14,24,31,39,50
2014/4/18,豐原,PM10,47,47,37,41,48,62
2014/4/18,豐原,PM2.5,20,20,16,17,28,33
2014/4/18,豐原,RAINFALL,NR,NR,NR,NR,NR,NR
2014/4/18,豐原,RH,78,78,79,72,67,61
2014/4/18,豐原,SO2,2.3,2.3,2.2,2.9,3,3.4
2014/4/18,豐原,THC,1.8,1.8,1.8,1.8,1.8,1.9
2014/4/18,豐原,WD_HR,109,109,107,130,179,237
2014/4/18,豐原,WIND_DIREC,120,120,110,148,159,211
2014/4/18,豐原,WIND_SPEED,1.4,1.4,0.8,1.8,1.6,2
2014/4/18,豐原,WS_HR,1.1,1.1,0.9,0.8,1.4,1.4
2014/4/19,豐原,AMB_TEMP,23,23,23,23,24,25
2014/4/19,豐原,CH4,1.8,1.8,1.8,1.8,1.7,1.8
2014/4/19,豐原,CO,0.3,0.32,0.38,0.5,0.45,0.46
2014/4/19,豐原,NMHC,0.12,0.09,0.18,0.13,0.13,0.22
2014/4/19,豐原,NO,0.3,0.5,0.6,1.9,3.2,4.4
2014/4/19,豐原,NO2,12,13,13,16,12,17
2014/4/19,豐原,NOx,12,14,14,18,15,21
2014/4/19,豐原,O3,16,18,14,12,15,18
2014/4/19,豐原,PM10,70,76,80,86,71,70
2014/4/19,豐原,PM2.5,21,26,29,35,31,41
2014/4/19,豐原,RAINFALL,NR,NR,NR,NR,NR,NR
2014/4/19,豐原,RH,84,89,89,88,81,77
2014/4/19,豐原,SO2,3,3.2,2.1,2.4,2.5,3.3
2014/4/19,豐原,THC,1.9,1.9,2,2,1.9,2
2014/4/19,豐原,WD_HR,316,307,310,311,337,312
2014/4/19,豐原,WIND_DIREC,306,311,290,301,328,306
2014/4/19,豐原,WIND_SPEED,1.1,1.6,1.3,0.8,1.1,2.1
2014/4/19,豐原,WS_HR,1.2,1.2,1.1,0.9,0.4,1.6
2014/4/20,豐原,AMB_TEMP,23,23,23,24,26,27
2014/4/20,豐原,CH4,1.7,1.7,1.7,1.7,1.7,1.7
2014/4/20,豐原,CO,0.3,0.34,0.51,0.56,0.44,0.36
2014/4/20,豐原,NMHC,0.1,0.09,0.18,0.22,0.09,0.08
2014/4/20,豐原,NO,0.6,0.7,1.2,4.9,2.4,1.8
2014/4/20,豐原,NO2,8.7,9.2,11,16,9.8,10
2014/4/20,豐原,NOx,9.3,9.9,12,21,12,12
2014/4/20,豐原,O3,14,16,19,17,36,38
2014/4/20,豐原,PM10,66,52,47,41,52,57
2014/4/20,豐原,PM2.5,23,16,21,29,30,27
2014/4/20,豐原,RAINFALL,NR,NR,NR,NR,NR,NR
2014/4/20,豐原,RH,83,80,77,74,63,59
2014/4/20,豐原,SO2,1.8,1.5,1.6,2.1,3.7,4.4
2014/4/20,豐原,THC,1.8,1.8,1.9,2,1.8,1.8
2014/4/20,豐原,WD_HR,95,101,109,355,306,299
2014/4/20,豐原,WIND_DIREC,104,100,345,349,302,315
2014/4/20,豐原,WIND_SPEED,1,1.7,0.8,1,1.6,2.6
2014/4/20,豐原,WS_HR,1.1,1.4,0.8,0.4,0.6,1.4
2014/5/1,豐原,AMB_TEMP,20,20,20,21,22,22
2014/5/1,豐原,CH4,1.8,1.8,1.8,1.8,1.8,1.8
2014/5/1,豐原,CO,0.48,0.47,0.59,0.71,0.69,0.62
2014/5/1,豐原,NMHC,0.18,0.14,0.22,0.24,0.26,0.24
2014/5/1,豐原,NO,0.7,0.6,1.4,2.2,2.9,3.3
2014/5/1,豐原,NO2,10,8.2,18,19,19,22
2014/5/1,豐原,NOx,11,8.8,19,21,22,25
2014/5/1,豐原,O3,27,27,21,23,25,28
2014/5/1,豐原,PM10,23,21,32,39,52,33
2014/5/1,豐原,PM2.5,14,20,16,21,19,29
2014/5/1,豐原,RAINFALL,1.2,0.4,0.2,0.2,0.2,NR
2014/5/1,豐原,RH,90,90,90,90,89,89
2014/5/1,豐原,SO2,2.1,1.7,2,2,2,3.4
2014/5/1,豐原,THC,2,2,2.1,2.1,2.1,2
2014/5/1,豐原,WD_HR,96,113,265,102,336,312
2014/5/1,豐原,WIND_DIREC,111,265,269,142,271,318
2014/5/1,豐原,WIND_SPEED,1.5,0.6,1.4,0.8,1.3,2
2014/5/1,豐原,WS_HR,0.9,0.8,0.6,0.3,0.3,1.3
2014/5/2,豐原,AMB_TEMP,20,20,20,22,24,26
2014/5/2,豐原,CH4,1.7,1.7,1.7,1.7,1.7,1.7
2014/5/2,豐原,CO,0.31,0.31,0.37,0.49,0.43,0.35
2014/5/2,豐原,NMHC,0.06,0.06,0.07,0.11,0.1,0.09
2014/5/2,豐原,NO,1.7,1.7,2.1,6.1,2.7,1.9
2014/5/2,豐原,NO2,9.2,9.2,9,11,8.8,5.2
2014/5/2,豐原,NOx,11,11,11,17,12,7.1
